Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
 7312620   6.1%  88.4%  9280506   7.7% ContainerOAfV6Q6\App_KernelDevDebugContainer::ContainerOAfV6Q6\{closure}
 4313520   3.6%  92.0%  4313520   3.6% base64_encode
 1288512   1.1%  93.1%  1288512   1.1% sprintf
 1073744   0.9%  94.0%  1219308   1.0% include /var/www/html/var/cache/dev/App_KernelDevDebugContainer.php
  972664   0.8%  94.8%   980208   0.8% Composer\Autoload\{closure}
  640512   0.5%  95.3%  1926304   1.6% Symfony\Component\ErrorHandler\DebugClassLoader::setReturnType
  431012   0.4%  95.7%  1224536   1.0% ComposerAutoloaderInite89cbcdbaacffd115118df2cfe4d232a::getLoader
  373784   0.3%  96.0%  2510312   2.1% Symfony\Component\ErrorHandler\DebugClassLoader::checkAnnotations
  354448   0.3%  96.3%  2554243   2.1% ContainerOAfV6Q6\App_KernelDevDebugContainer::load
  306088   0.3%  96.6%   306088   0.3% Kiwilan\XmlReader\XmlConverter::parseAttributes
  306020   0.3%  96.8%  1300230   1.1% {closure}
  216724   0.2%  97.0%  1394193   1.2% ContainerOAfV6Q6\App_KernelDevDebugContainer::getDoctrine_Orm_DefaultEntityManagerService
  208768   0.2%  97.2%   670056   0.6% Smalot\PdfParser\Parser::parseHeader
  154360   0.1%  97.3%   154360   0.1% Symfony\Component\String\AbstractUnicodeString::wcswidth
  132048   0.1%  97.4%   542472   0.5% Smalot\PdfParser\Parser::parseHeaderElement
  121400   0.1%  97.5%   136984   0.1% ContainerOAfV6Q6\getSecrets_VaultService::do
  120268   0.1%  97.6%   274436   0.2% ContainerOAfV6Q6\getBookRepositoryService::do
  119208   0.1%  97.7%   126280   0.1% Symfony\Component\Cache\Adapter\PhpFilesAdapter::doFetch
  109392   0.1%  97.8%   200112   0.2% Kiwilan\Archive\Readers\ArchiveZip::createArchiveItem
   99484   0.1%  97.9%   104732   0.1% require /var/www/html/var/cache/dev/ContainerOAfV6Q6/EntityManagerGhostEbeb667.php
   91280   0.1%  97.9%   265772   0.2% Smalot\PdfParser\Element\ElementName::parse
   89992   0.1%  98.0%   113976   0.1% ContainerOAfV6Q6\App_KernelDevDebugContainer::getEventDispatcherService
   86960   0.1%  98.1%    86960   0.1% DateTime::__construct
   84052   0.1%  98.2%   985440   0.8% ContainerOAfV6Q6\getTypesense_Listener_DoctrineIndexerService::do
   82800   0.1%  98.2%    82800   0.1% Symfony\Component\VarDumper\Cloner\AbstractCloner::addCasters
   74768   0.1%  98.3%   157514   0.1% ContainerOAfV6Q6\getDebug_ErrorHandlerConfiguratorService::do
   73168   0.1%  98.4%    73168   0.1% Symfony\Bridge\Doctrine\Middleware\Debug\DebugDataHolder::addQuery
   66296   0.1%  98.4%    78584   0.1% Symfony\Component\Console\Command\Command::__construct
   65536   0.1%  98.5%    65536   0.1% Behat\Transliterator\Transliterator::urlize
   55904   0.0%  98.5%   274752   0.2% ContainerOAfV6Q6\getGedmo_Listener_TimestampableService::do
   52856   0.0%  98.6%    52896   0.0% ContainerOAfV6Q6\getGedmo_Listener_SluggableService::do
   51584   0.0%  98.6%    51584   0.0% preg_match
   46624   0.0%  98.6%    46632   0.0% ContainerOAfV6Q6\getContainer_EnvVarProcessorService::do
   41483   0.0%  98.7%    41483   0.0% PDO::__construct
   41016   0.0%  98.7%  2551328   2.1% Symfony\Component\ErrorHandler\DebugClassLoader::checkClass
   40496   0.0%  98.7%    40496   0.0% ComposerAutoloaderInite89cbcdbaacffd115118df2cfe4d232a::loadClassLoader
   34064   0.0%  98.8%   114256   0.1% Smalot\PdfParser\PDFObject::factory
   32800   0.0%  98.8%    32800   0.0% str_repeat
   31208   0.0%  98.8%   177992   0.1% Symfony\Component\Cache\Adapter\TraceableAdapter::getItem
   26148   0.0%  98.8%    92348   0.1% ContainerOAfV6Q6\getSecurity_HelperService::do
   25348   0.0%  98.9%    25348   0.0% ZipArchive::getFromIndex
   25200   0.0%  98.9%    68240   0.1% Kiwilan\Archive\Models\ArchiveItem::fromP7zip
   24736   0.0%  98.9%    24808   0.0% ContainerOAfV6Q6\App_KernelDevDebugContainer::getDefaultParameters
   23496   0.0%  98.9%    23496   0.0% Symfony\Component\EventDispatcher\EventDispatcher::addListener
   23284   0.0%  98.9%    24124   0.0% ContainerOAfV6Q6\getBookFileSystemManagerService::do
   23136   0.0%  99.0%   709444   0.6% Symfony\Component\Config\Resource\SelfCheckingResourceChecker::isFresh
   22488   0.0%  99.0%    22488   0.0% Doctrine\DBAL\Platforms\AbstractMySQLPlatform::doModifyLimitQuery
   22488   0.0%  99.0%   328576   0.3% Kiwilan\XmlReader\XmlConverter::parseChildNodes
   22488   0.0%  99.0%    22488   0.0% serialize
   22480   0.0%  99.0%    22480   0.0% ContainerOAfV6Q6\getBooksScanCommand_LazyService::do
   21712   0.0%  99.1%    21712   0.0% Smalot\PdfParser\Document::buildDictionary
   20880   0.0%  99.1%   869136   0.7% include /var/www/html/vendor/doctrine/dbal/src/Platforms/AbstractMySQLPlatform.php
   20592   0.0%  99.1%   807464   0.7% Smalot\PdfParser\Parser::parseObject
   20092   0.0%  99.1%    20092   0.0% require /var/www/html/vendor/clue/stream-filter/src/functions_include.php
   20040   0.0%  99.1%    20040   0.0% Doctrine\ORM\UnitOfWork::recomputeSingleEntityChangeSet
   19008   0.0%  99.1%    19008   0.0% Symfony\Bridge\Doctrine\Middleware\Debug\Query::__clone
   19008   0.0%  99.2%    19008   0.0% Symfony\Bridge\Doctrine\Middleware\Debug\Query::setValue
   16600   0.0%  99.2%    18540   0.0% Kiwilan\Archive\Readers\ArchivePdf::createArchiveItem
   16528   0.0%  99.2%   759564   0.6% ContainerOAfV6Q6\getTypesense_CollectionClientService::do
   15296   0.0%  99.2%   454672   0.4% ContainerOAfV6Q6\getBooksScanCommandService::do
   14784   0.0%  99.2%   397112   0.3% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Mapping/ClassMetadata.php
   13856   0.0%  99.2%    13856   0.0% Symfony\Component\Cache\Adapter\TraceableAdapter::start
   13420   0.0%  99.2%    76620   0.1% ContainerOAfV6Q6\getTypesense_Transformer_DoctrineToTypesenseService::do
   12200   0.0%  99.2%   120572   0.1% include /var/www/html/var/cache/dev/ContainerOAfV6Q6/App_KernelDevDebugContainer.php
   11672   0.0%  99.3%    17000   0.0% Symfony\Component\Stopwatch\StopwatchEvent::stop
   11600   0.0%  99.3%    11600   0.0% require /var/www/html/vendor/guzzlehttp/guzzle/src/functions_include.php
   10960   0.0%  99.3%  1019976   0.8% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQL57Platform.php
   10960   0.0%  99.3%  1036436   0.9% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQL80Platform.php
   10960   0.0%  99.3%  1008552   0.8% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQLPlatform.php
    9376   0.0%  99.3%   270544   0.2% Doctrine\ORM\Mapping\ClassMetadataInfo::validateAndCompleteFieldMapping
    9360   0.0%  99.3%     9360   0.0% gzuncompress
    9336   0.0%  99.3%     9336   0.0% Symfony\Component\Cache\Adapter\PhpArrayAdapter::initialize
    9216   0.0%  99.3%     9472   0.0% Smalot\PdfParser\RawData\RawDataParser::decodeXref
    9208   0.0%  99.3%   117900   0.1% ContainerOAfV6Q6\App_KernelDevDebugContainer::createProxy
    9152   0.0%  99.3%     9152   0.0% Smalot\PdfParser\RawData\RawDataParser::getObjectHeaderPattern
